brand,model,gbgPrice,originalPrice,pctOff,inStock,gbgTitle,url
Cybex,Priam,634.45,1199.9,47,true,"Cybex PRIAM Stroller, 2022, Chrome With Black Details, Nautical Blue",https://goodbuygear.pxf.io/c/6560395/3226197/40600?prodsku=41825415790695&u=https%3A%2F%2Fgoodbuygear.com%2Fproducts%2Fcybex-priam-stroller-2022-chrome-with-black-details-nautical-blue&intsrc=APIG_26298
Nuna,MIXX next,477.5,900,47,true,"Nuna MIXX Next Stroller, 2022, Caviar",https://goodbuygear.pxf.io/c/6560395/3226197/40600?prodsku=43845157617767&u=https%3A%2F%2Fgoodbuygear.com%2Fproducts%2Fnuna-mixx-next-stroller-2022-caviar-19&intsrc=APIG_26298
Silver Cross,Wave 3,907.99,1699.99,47,true,"Silver Cross Wave 3 Stroller, 2025, Caramel",https://goodbuygear.pxf.io/c/6560395/3226197/40600?prodsku=44112393535591&u=https%3A%2F%2Fgoodbuygear.com%2Fproducts%2Fsilver-cross-wave-3-stroller-2025-caramel-2&intsrc=APIG_26298
Cybex,Balios S Lux,381.75,699.95,45,true,"Cybex Balios S Lux Stroller, 2024, Black, Black Frame",https://goodbuygear.pxf.io/c/6560395/3226197/40600?prodsku=43845537300583&u=https%3A%2F%2Fgoodbuygear.com%2Fproducts%2Fcybex-balios-s-lux-stroller-2024-black-black-frame&intsrc=APIG_26298
Cybex,Balios S Lux,381.75,699.95,45,true,"Cybex Balios S Lux Stroller, 2020, Soho Grey, Silver Frame",https://goodbuygear.pxf.io/c/6560395/3226197/40600?prodsku=41830614401127&u=https%3A%2F%2Fgoodbuygear.com%2Fproducts%2Fcybex-balios-s-lux-stroller-2020-silver-frame-soho-grey&intsrc=APIG_26298
Graco,Modes Nest,235.54,429.99,45,true,"Graco Modes Nest Stroller, 2025, Sullivan",https://goodbuygear.pxf.io/c/6560395/3226197/40600?prodsku=43747047112807&u=https%3A%2F%2Fgoodbuygear.com%2Fproducts%2Fgraco-modes-nest-stroller-2025-sullivan&intsrc=APIG_26298
Graco,Modes Nest,235.54,429.99,45,true,"Graco Modes Nest Stroller, 2025, Sullivan",https://goodbuygear.pxf.io/c/6560395/3226197/40600?prodsku=43801395265639&u=https%3A%2F%2Fgoodbuygear.com%2Fproducts%2Fgraco-modes-nest-stroller-2025-sullivan-1&intsrc=APIG_26298
Graco,Modes Nest,235.59,429.99,45,true,"Graco Modes Nest Stroller, 2022, Raven",https://goodbuygear.pxf.io/c/6560395/3226197/40600?prodsku=43938066071655&u=https%3A%2F%2Fgoodbuygear.com%2Fproducts%2Fgraco-modes-nest-stroller-2022-raven&intsrc=APIG_26298
Zoe,The Journey,437.7,799,45,true,"Zoe The Journey Stroller, Black, 2024",https://goodbuygear.pxf.io/c/6560395/3226197/40600?prodsku=42345915744359&u=https%3A%2F%2Fgoodbuygear.com%2Fproducts%2Fzoe-the-journey-stroller-black-2024&intsrc=APIG_26298
Silver Cross,Wave 3,955.99,1699.99,44,true,"Silver Cross Wave 3 Stroller, 2024, Licorice",https://goodbuygear.pxf.io/c/6560395/3226197/40600?prodsku=44104939208807&u=https%3A%2F%2Fgoodbuygear.com%2Fproducts%2Fsilver-cross-wave-3-stroller-2024-licorice-21&intsrc=APIG_26298
